time, reg flux, resp flux
0,0,0
0.001,0,0
time, reg flux, resp flux
time, reg flux, resp flux
time, reg flux, resp flux
time, reg flux, resp flux
time, reg flux, resp flux
0,0,0
0.001,0,0
0.002,0,0
time, reg flux, resp flux
0,2.40345e-15,1.41683e-16
0.001,1.36869e-15,7.29121e-17
0.002,9.03149e-13,4.07011e-16
0.003,4.61021e-16,2.10685e-14
0.004,1.23819e-09,9.84976e-12
0.005,5.74407e-09,1.68736e-10
0.006,7.49647e-09,4.08483e-10
0.007,6.75983e-09,6.53829e-10
0.008,7.78308e-09,4.05579e-10
0.009,6.8627e-09,5.64951e-10
0.01,5.35921e-09,5.47742e-10
0.011,6.74782e-09,4.49829e-10
0.012,7.44428e-09,5.51969e-10
0.013,5.58272e-09,4.32973e-10
0.014,6.39746e-09,3.44985e-10
0.015,4.27461e-09,5.37776e-10
0.016,4.95201e-09,2.05767e-10
0.017,5.21145e-09,3.18632e-10
0.018,4.31712e-09,2.39703e-10
0.019,4.61371e-09,2.67953e-10
0.02,5.64684e-09,2.17365e-10
time, reg flux, resp flux
0,1.21594e-14,3.40116e-16
0.001,2.76545e-15,7.18339e-17
0.002,9.15395e-13,4.32582e-16
0.003,4.61311e-10,1.35826e-16
0.004,7.82509e-09,6.8075e-11
0.005,1.87103e-08,3.84047e-10
0.006,2.34918e-08,8.9851e-10
0.007,2.11117e-08,8.94886e-10
0.008,2.67987e-08,5.20035e-10
0.009,2.39604e-08,1.37802e-09
0.01,1.99376e-08,9.26921e-10
time, reg flux, resp flux
0,1.21594e-14,3.51566e-16
0.001,2.76545e-15,7.2459e-17
0.002,9.15395e-13,3.91895e-16
0.003,4.61311e-10,7.46429e-16
0.004,7.82509e-09,6.51712e-11
0.005,1.87103e-08,3.93443e-10
time, reg flux, resp flux
time, reg flux, resp flux
time, reg flux, resp flux
time, reg flux, resp flux
time, reg flux, resp flux
time, reg flux, resp flux, resp ang flux
0,2.88966e-14,1.58823e-11,1.16771e-12
0.001,2.34707e-11,5.39698e-11,4.3461e-10
0.002,6.16984e-10,1.1652e-10,5.04221e-09
0.003,4.09289e-08,1.17142e-09,2.70315e-08
0.004,1.4329e-07,1.17151e-08,6.79553e-08
0.005,1.95477e-07,1.90101e-08,9.04208e-08
0.006,1.99903e-07,2.28789e-08,9.81251e-08
0.007,1.99405e-07,2.34352e-08,9.70328e-08
0.008,1.92e-07,2.19849e-08,9.41633e-08
0.009,1.85233e-07,2.06676e-08,9.02998e-08
0.01,1.77058e-07,2.04642e-08,8.75296e-08
0.011,1.78583e-07,1.98392e-08,8.65006e-08
0.012,1.63516e-07,1.85579e-08,7.87899e-08
0.013,1.55986e-07,1.75519e-08,7.65223e-08
0.014,1.56238e-07,1.75164e-08,7.6721e-08
0.015,1.45259e-07,1.52596e-08,7.05094e-08
0.016,1.4257e-07,1.61868e-08,7.07843e-08
0.017,1.38844e-07,1.60186e-08,6.88729e-08
0.018,1.39269e-07,1.55109e-08,6.66142e-08
0.019,1.36511e-07,1.45439e-08,6.47282e-08
0.02,1.27571e-07,1.37548e-08,6.18947e-08
0.021,1.17521e-07,1.33905e-08,5.85235e-08
0.022,1.15596e-07,1.36616e-08,5.72073e-08
0.023,1.14411e-07,1.19412e-08,5.4903e-08
0.024,1.14874e-07,1.30269e-08,5.60518e-08


time, reg flux, resp flux, resp ang flux
0,3.1387e-14,4.35263e-11,1.00208e-13
0.001,1.22707e-11,7.11933e-11,4.17161e-10
0.002,4.87023e-10,1.04539e-10,4.76301e-09
0.003,3.72636e-08,1.56954e-09,2.56207e-08
0.004,1.49717e-07,1.17972e-08,7.05113e-08
0.005,1.95035e-07,2.06194e-08,9.36916e-08
0.006,2.16556e-07,2.31612e-08,1.02506e-07
0.007,2.10784e-07,2.68093e-08,1.04053e-07
0.008,2.06183e-07,2.3193e-08,1.00223e-07
0.009,1.88975e-07,2.12976e-08,9.07223e-08
0.01,1.81433e-07,2.1068e-08,8.76815e-08
0.011,1.69475e-07,1.82944e-08,7.96217e-08
0.012,1.70591e-07,2.01084e-08,8.31206e-08
0.013,1.60774e-07,1.81698e-08,7.77907e-08
0.014,1.50169e-07,1.78692e-08,7.37448e-08
0.015,1.55247e-07,1.69771e-08,7.48415e-08
0.016,1.50014e-07,1.63986e-08,7.22053e-08
0.017,1.32409e-07,1.35797e-08,6.43864e-08
0.018,1.36838e-07,1.64746e-08,6.64287e-08
0.019,1.28629e-07,1.46491e-08,6.31363e-08
0.02,1.23422e-07,1.49004e-08,6.05156e-08
0.021,1.22123e-07,1.30613e-08,5.84127e-08
0.022,1.2124e-07,1.3258e-08,5.76183e-08
0.023,1.13032e-07,1.34451e-08,5.51139e-08
0.024,1.14184e-07,1.17788e-08,5.47625e-08


time, reg flux, resp flux, resp ang flux
0,2.77891e-14,2.88589e-11,2.58249e-12
0.001,1.35672e-11,9.96151e-11,4.45717e-10
0.002,9.1697e-10,1.03919e-10,5.60105e-09
0.003,3.90223e-08,1.38324e-09,2.74836e-08
0.004,1.45404e-07,1.17561e-08,7.22668e-08
0.005,1.99121e-07,2.32342e-08,9.51146e-08
0.006,2.11724e-07,2.51121e-08,1.02023e-07
0.007,2.0466e-07,2.41042e-08,9.80374e-08
0.008,1.8893e-07,2.12578e-08,9.2491e-08
0.009,1.84107e-07,2.03917e-08,9.05294e-08
0.01,1.72073e-07,1.92591e-08,8.70495e-08
0.011,1.70578e-07,2.13368e-08,8.5051e-08
0.012,1.64626e-07,1.75664e-08,7.95082e-08
0.013,1.5206e-07,1.76194e-08,7.69758e-08
0.014,1.53076e-07,1.79482e-08,7.65659e-08
0.015,1.45578e-07,1.66937e-08,7.18342e-08
0.016,1.46516e-07,1.60979e-08,7.05134e-08
0.017,1.41843e-07,1.57005e-08,6.74962e-08
0.018,1.34193e-07,1.4407e-08,6.52147e-08
0.019,1.31747e-07,1.46234e-08,6.48928e-08
0.02,1.37901e-07,1.33306e-08,6.47217e-08
0.021,1.14371e-07,1.29619e-08,5.71382e-08
0.022,1.21275e-07,1.38896e-08,5.98207e-08
0.023,1.16065e-07,1.30573e-08,5.62388e-08
0.024,1.11077e-07,1.24659e-08,5.4569e-08


time, reg flux, resp flux, resp ang flux
0,3.10578e-14,2.15544e-11,3.19032e-13
0.001,1.75259e-11,7.14123e-11,5.0199e-10
0.002,1.10802e-09,1.24329e-10,5.68718e-09
0.003,3.85041e-08,1.23982e-09,2.75612e-08
0.004,1.56614e-07,1.24309e-08,7.24087e-08
0.005,2.0347e-07,2.01097e-08,9.52637e-08
0.006,2.09419e-07,2.41808e-08,1.01943e-07
0.007,1.99402e-07,2.36267e-08,9.836e-08
0.008,1.88544e-07,2.09246e-08,9.14997e-08
0.009,1.78083e-07,2.07966e-08,8.68511e-08
0.01,1.71464e-07,1.92028e-08,8.42914e-08
0.011,1.76884e-07,2.07005e-08,8.69022e-08
0.012,1.64454e-07,1.89411e-08,7.91268e-08
0.013,1.5879e-07,1.81618e-08,7.76527e-08
0.014,1.52623e-07,1.62788e-08,7.46209e-08
0.015,1.39165e-07,1.61197e-08,6.99703e-08
0.016,1.45672e-07,1.72731e-08,7.31005e-08
0.017,1.4219e-07,1.61436e-08,6.98036e-08
0.018,1.37506e-07,1.57687e-08,6.76265e-08
0.019,1.33315e-07,1.47492e-08,6.4563e-08
0.02,1.27165e-07,1.49864e-08,6.15206e-08
0.021,1.21181e-07,1.31793e-08,5.73576e-08
0.022,1.12039e-07,1.20689e-08,5.52124e-08
0.023,1.20029e-07,1.29854e-08,5.75471e-08
0.024,1.17123e-07,1.31761e-08,5.65486e-08


time, reg flux, resp flux, resp ang flux
0,2.81749e-14,2.08167e-11,1.19098e-13
0.001,1.23333e-11,5.5923e-11,3.71285e-10
0.002,7.07512e-10,8.74697e-11,4.8689e-09
0.003,3.83653e-08,1.49527e-09,2.6312e-08
0.004,1.42558e-07,1.09698e-08,6.84197e-08
0.005,2.01051e-07,1.96601e-08,9.2786e-08
0.006,2.10033e-07,2.47594e-08,1.02249e-07
0.007,1.9848e-07,2.17203e-08,9.68215e-08
0.008,1.93739e-07,2.23767e-08,9.44386e-08
0.009,1.84104e-07,2.10108e-08,9.12325e-08
0.01,1.71987e-07,2.09102e-08,8.61154e-08
0.011,1.63966e-07,1.95896e-08,8.24864e-08
0.012,1.64083e-07,1.92823e-08,8.32175e-08
0.013,1.68823e-07,1.80038e-08,8.35708e-08
0.014,1.47298e-07,1.52397e-08,7.03695e-08
0.015,1.43068e-07,1.57193e-08,6.85495e-08
0.016,1.48557e-07,1.582e-08,7.00727e-08
0.017,1.42334e-07,1.50349e-08,7.05445e-08
0.018,1.35422e-07,1.57954e-08,6.73165e-08
0.019,1.30707e-07,1.38677e-08,6.2292e-08
0.02,1.22957e-07,1.36274e-08,5.84177e-08
0.021,1.18685e-07,1.30232e-08,5.74071e-08
0.022,1.22364e-07,1.35484e-08,5.94703e-08
0.023,1.13377e-07,1.2535e-08,5.49219e-08
0.024,1.16597e-07,1.21567e-08,5.4903e-08


time, reg flux, resp flux, resp ang flux
0,2.41733e-14,2.34343e-11,0.00086
0.001,1.93451e-11,6.74802e-11,4.27872e-10
0.002,3.41597e-10,1.75286e-10,5.1324e-09
0.003,3.77522e-08,1.03497e-09,2.624e-08
0.004,1.46622e-07,1.20567e-08,7.18853e-08
0.005,2.02752e-07,2.26347e-08,9.62644e-08
0.006,2.03776e-07,2.52707e-08,9.90245e-08
0.007,2.00306e-07,2.17142e-08,9.2981e-08
0.008,1.95697e-07,2.39992e-08,9.68009e-08
0.009,1.79777e-07,2.06693e-08,8.823e-08
0.01,1.79727e-07,1.95813e-08,8.75262e-08
0.011,1.66577e-07,1.90416e-08,7.99334e-08
0.012,1.60524e-07,1.72688e-08,7.58685e-08
0.013,1.57217e-07,1.97313e-08,7.80532e-08
0.014,1.51857e-07,1.71494e-08,7.40489e-08
0.015,1.38614e-07,1.6751e-08,6.87455e-08
0.016,1.44626e-07,1.57879e-08,6.93698e-08
0.017,1.34552e-07,1.31986e-08,6.50954e-08
0.018,1.40846e-07,1.49314e-08,6.63369e-08
0.019,1.27278e-07,1.48628e-08,6.27951e-08
0.02,1.25646e-07,1.44391e-08,6.26071e-08
0.021,1.22947e-07,1.27002e-08,5.89298e-08
0.022,1.16651e-07,1.27412e-08,5.77823e-08
0.023,1.16345e-07,1.31464e-08,5.87819e-08
0.024,1.16201e-07,1.29302e-08,5.69486e-08


time, reg flux, resp flux, resp ang flux
0,4.02799e-14,2.67126e-11,1.08152e-13
0.001,1.40936e-11,6.30474e-11,4.41163e-10
0.002,7.20852e-10,1.06631e-10,5.06036e-09
0.003,3.7532e-08,1.33263e-09,2.65933e-08
0.004,1.50917e-07,1.15543e-08,7.13161e-08
0.005,2.02921e-07,2.07118e-08,9.34315e-08
0.006,2.17319e-07,2.46351e-08,1.04746e-07
0.007,2.03863e-07,2.36932e-08,9.96404e-08
0.008,1.93044e-07,2.46512e-08,9.64519e-08
0.009,1.8388e-07,1.99719e-08,8.85445e-08
0.01,1.79369e-07,2.01749e-08,8.85863e-08
0.011,1.66301e-07,1.86622e-08,8.20946e-08
0.012,1.68614e-07,2.09402e-08,8.46045e-08
0.013,1.60443e-07,1.84772e-08,8.06564e-08
0.014,1.57717e-07,1.87684e-08,8.00018e-08
0.015,1.48392e-07,1.85889e-08,7.5517e-08
0.016,1.44704e-07,1.82271e-08,7.22296e-08
0.017,1.35064e-07,1.60307e-08,6.65645e-08
0.018,1.31128e-07,1.40944e-08,6.40833e-08
0.019,1.31688e-07,1.39807e-08,6.40396e-08
0.02,1.20996e-07,1.47947e-08,6.0785e-08
0.021,1.14686e-07,1.35179e-08,5.70756e-08
0.022,1.21583e-07,1.15559e-08,5.74425e-08
0.023,1.21751e-07,1.29159e-08,5.94955e-08
0.024,1.14786e-07,1.29437e-08,5.66531e-08


time, reg flux, resp flux, resp ang flux
0,3.0124e-14,2.4419e-11,6.62356e-14
0.001,1.18071e-11,7.48535e-11,4.46762e-10
0.002,8.55283e-10,1.77278e-10,5.1237e-09
0.003,3.63424e-08,1.2219e-09,2.64139e-08
0.004,1.49414e-07,1.2581e-08,7.31023e-08
0.005,2.07514e-07,2.17055e-08,9.38084e-08
0.006,2.06655e-07,2.3577e-08,9.83232e-08
0.007,2.02593e-07,2.21284e-08,9.63797e-08
0.008,1.94755e-07,2.12269e-08,9.43538e-08
0.009,1.85842e-07,1.90518e-08,8.82158e-08
0.01,1.72918e-07,1.93864e-08,8.49183e-08
0.011,1.74839e-07,1.98016e-08,8.61121e-08
0.012,1.65881e-07,1.9372e-08,8.38014e-08
0.013,1.65517e-07,1.89447e-08,7.88513e-08
0.014,1.4941e-07,1.66388e-08,7.23214e-08
0.015,1.40647e-07,1.6384e-08,6.73366e-08
0.016,1.44271e-07,1.57757e-08,7.08777e-08
0.017,1.4933e-07,1.78414e-08,7.23221e-08
0.018,1.33555e-07,1.45767e-08,6.37517e-08
0.019,1.30094e-07,1.45912e-08,6.26195e-08
0.02,1.26919e-07,1.34426e-08,5.95465e-08
0.021,1.24056e-07,1.45015e-08,6.28294e-08
0.022,1.28853e-07,1.59598e-08,6.38885e-08
0.023,1.22866e-07,1.52324e-08,6.10056e-08
0.024,1.14312e-07,1.09048e-08,5.51997e-08


time, reg flux, resp flux, resp ang flux
0,3.27891e-14,3.44049e-11,1.60981e-12
0.001,5.86922e-12,1.03697e-10,4.35945e-10
0.002,8.07999e-10,1.47444e-10,4.75688e-09
0.003,3.74666e-08,1.14882e-09,2.4875e-08
0.004,1.38953e-07,1.09881e-08,6.71277e-08
0.005,1.96994e-07,1.96477e-08,9.12047e-08
0.006,2.13949e-07,2.29399e-08,1.01129e-07
0.007,2.08558e-07,2.46522e-08,1.01679e-07
0.008,2.01295e-07,2.22138e-08,9.69952e-08
0.009,1.80398e-07,2.09279e-08,8.94364e-08
0.01,1.72671e-07,1.98221e-08,8.44696e-08
