Time,Reg. Fluence,Resp. Fluence,Reg. Flux,Resp. Flux
0,2.41162e-14,1.02342e-14,2.41162e-11,1.02342e-11
0.001,4.42375e-11,3.16139e-10,4.42134e-08,3.16129e-07
0.002,1.31112e-09,4.33602e-09,1.26689e-06,4.01989e-06
0.003,3.3079e-08,2.59398e-08,3.17679e-05,2.16038e-05
0.004,1.74308e-07,9.30755e-08,0.000141229,6.71358e-05
0.005,3.61747e-07,1.8772e-07,0.000187439,9.4644e-05
0.006,5.88113e-07,2.97101e-07,0.000226366,0.000109381
0.007,7.72608e-07,3.79001e-07,0.000184495,8.19007e-05
0.008,9.78526e-07,4.69305e-07,0.000205918,9.03038e-05
0.009,1.17109e-06,5.5781e-07,0.000192564,8.85047e-05
0.01,1.34729e-06,6.41606e-07,0.000176202,8.37961e-05
0.011,1.5159e-06,7.24492e-07,0.000168604,8.28862e-05
0.012,1.68205e-06,8.08224e-07,0.000166158,8.3732e-05
0.013,1.83886e-06,8.85426e-07,0.000156808,7.72023e-05
0.014,1.97984e-06,9.57771e-07,0.000140979,7.23445e-05
0.015,2.12196e-06,1.03013e-06,0.000142119,7.23544e-05
0.016,2.27762e-06,1.09963e-06,0.000155663,6.95058e-05
0.017,2.42355e-06,1.168e-06,0.000145933,6.83723e-05
0.018,2.56904e-06,1.23577e-06,0.000145489,6.77695e-05
0.019,2.68947e-06,1.29849e-06,0.000120431,6.27145e-05
0.02,2.82005e-06,1.36631e-06,0.000130573,6.78237e-05
0.021,2.96048e-06,1.43641e-06,0.000140429,7.00993e-05
0.022,3.09016e-06,1.49742e-06,0.000129684,6.10098e-05
0.023,3.21455e-06,1.56416e-06,0.000124392,6.67385e-05
0.024,3.33903e-06,1.6245e-06,0.000124473,6.03406e-05
0.025,3.45954e-06,1.68182e-06,0.000120517,5.73163e-05
0.026,3.57892e-06,1.73857e-06,0.000119378,5.6752e-05
0.027,3.68912e-06,1.78865e-06,0.000110203,5.00838e-05
0.028,3.7732e-06,1.8352e-06,8.40752e-05,4.6544e-05
0.029,3.88236e-06,1.88905e-06,0.000109165,5.38553e-05
0.03,3.98665e-06,1.94414e-06,0.000104284,5.50912e-05
0.031,4.07997e-06,1.99307e-06,9.33218e-05,4.89292e-05
0.032,4.16717e-06,2.02976e-06,8.71952e-05,3.66896e-05
0.033,4.25814e-06,2.06844e-06,9.09798e-05,3.86754e-05
0.034,4.34187e-06,2.10717e-06,8.37263e-05,3.87382e-05
0.035,4.43276e-06,2.14932e-06,9.08851e-05,4.21496e-05
0.036,4.5275e-06,2.19189e-06,9.47388e-05,4.25661e-05
0.037,4.62324e-06,2.24284e-06,9.5745e-05,5.09544e-05
0.038,4.71643e-06,2.28675e-06,9.31885e-05,4.39059e-05
0.039,4.80414e-06,2.32997e-06,8.77134e-05,4.32188e-05
0.04,4.90499e-06,2.3829e-06,0.000100847,5.29356e-05
0.041,5.00662e-06,2.43047e-06,0.000101631,4.75628e-05
0.042,5.10621e-06,2.4719e-06,9.95881e-05,4.14285e-05
0.043,5.20218e-06,2.51949e-06,9.59715e-05,4.759e-05
0.044,5.28949e-06,2.55934e-06,8.73099e-05,3.98521e-05
0.045,5.37743e-06,2.59922e-06,8.79434e-05,3.98801e-05
0.046,5.46268e-06,2.63398e-06,8.52483e-05,3.47576e-05
0.047,5.55733e-06,2.67579e-06,9.46475e-05,4.18153e-05
0.048,5.65402e-06,2.71746e-06,9.66869e-05,4.16688e-05
0.049,5.72527e-06,2.75337e-06,7.12558e-05,3.59094e-05
0.05,5.8139e-06,2.79092e-06,8.863e-05,3.75482e-05
0.051,5.89907e-06,2.83279e-06,8.5168e-05,4.18751e-05
0.052,5.97127e-06,2.86844e-06,7.21977e-05,3.56431e-05
0.053,6.05462e-06,2.91348e-06,8.33478e-05,4.50398e-05
0.054,6.14608e-06,2.96169e-06,9.14674e-05,4.82196e-05
0.055,6.22797e-06,2.99741e-06,8.18847e-05,3.57191e-05
0.056,6.2947e-06,3.02897e-06,6.67329e-05,3.15605e-05
0.057,6.36058e-06,3.05928e-06,6.58833e-05,3.03102e-05
0.058,6.42044e-06,3.08612e-06,5.98527e-05,2.68354e-05
0.059,6.48296e-06,3.11583e-06,6.25257e-05,2.97057e-05
0.06,6.55151e-06,3.15419e-06,6.85461e-05,3.83636e-05
0.061,6.6352e-06,3.19528e-06,8.36951e-05,4.10863e-05
0.062,6.71948e-06,3.24186e-06,8.42728e-05,4.65845e-05
0.063,6.79644e-06,3.27615e-06,7.69588e-05,3.42851e-05
0.064,6.85895e-06,3.30621e-06,6.25153e-05,3.00622e-05
0.065,6.93286e-06,3.34369e-06,7.39072e-05,3.74802e-05
0.066,6.98944e-06,3.37211e-06,5.65806e-05,2.84273e-05
0.067,7.06239e-06,3.40813e-06,7.29518e-05,3.60178e-05
0.068,7.14156e-06,3.44338e-06,7.91734e-05,3.52509e-05
0.069,7.21052e-06,3.47511e-06,6.89553e-05,3.17314e-05
0.07,7.28875e-06,3.5092e-06,7.82335e-05,3.40846e-05
0.071,7.35768e-06,3.54387e-06,6.89252e-05,3.46682e-05
0.072,7.43234e-06,3.57979e-06,7.46666e-05,3.59202e-05
0.073,7.48697e-06,3.60841e-06,5.46288e-05,2.86214e-05
0.074,7.56905e-06,3.64632e-06,8.20753e-05,3.79059e-05
0.075,7.62165e-06,3.67296e-06,5.26027e-05,2.6647e-05
0.076,7.68083e-06,3.70385e-06,5.91742e-05,3.08868e-05
0.077,7.74315e-06,3.72973e-06,6.23235e-05,2.58848e-05
0.078,7.80253e-06,3.76173e-06,5.93855e-05,3.19923e-05
0.079,7.88079e-06,3.79543e-06,7.82563e-05,3.37035e-05
0.08,7.94102e-06,3.82707e-06,6.02311e-05,3.16368e-05
0.081,8.01243e-06,3.85958e-06,7.14133e-05,3.2511e-05
0.082,8.06154e-06,3.88725e-06,4.91061e-05,2.76729e-05
0.083,8.1256e-06,3.9183e-06,6.4064e-05,3.10453e-05
0.084,8.17986e-06,3.94577e-06,5.42552e-05,2.74716e-05
0.085,8.24284e-06,3.97534e-06,6.29845e-05,2.95759e-05
0.086,8.30807e-06,4.00764e-06,6.52273e-05,3.22927e-05
0.087,8.37216e-06,4.04378e-06,6.40929e-05,3.61444e-05
0.088,8.42865e-06,4.07174e-06,5.64818e-05,2.79594e-05
0.089,8.47804e-06,4.09508e-06,4.93974e-05,2.3344e-05
0.09,8.53794e-06,4.12471e-06,5.98943e-05,2.96236e-05
0.091,8.60283e-06,4.15625e-06,6.48957e-05,3.15441e-05
0.092,8.65484e-06,4.18431e-06,5.20035e-05,2.80586e-05
0.093,8.70879e-06,4.21278e-06,5.39487e-05,2.84661e-05
0.094,8.7731e-06,4.24572e-06,6.43163e-05,3.29486e-05
0.095,8.83759e-06,4.27913e-06,6.44864e-05,3.341e-05
0.096,8.89615e-06,4.30568e-06,5.85585e-05,2.6548e-05
0.097,8.95371e-06,4.33414e-06,5.7564e-05,2.84545e-05
0.098,9.01472e-06,4.36365e-06,6.10136e-05,2.95178e-05
0.099,9.0824e-06,4.3983e-06,6.76789e-05,3.46446e-05
0.1,9.15011e-06,4.42968e-06,6.77048e-05,3.13822e-05
0.101,9.2086e-06,4.45712e-06,5.8495e-05,2.74374e-05
0.102,9.2593e-06,4.48011e-06,5.06923e-05,2.29943e-05
0.103,9.30916e-06,4.50517e-06,4.98666e-05,2.50598e-05
0.104,9.36349e-06,4.52916e-06,5.43269e-05,2.39861e-05
